,titles,companies,locations,reviews,noofreviews,descriptions,salaries
48,Scala / ML engineer,Dotcod Innovation Private Limited,"Bengaluru, Karnataka",None,None,None,"₹10,00,000 - ₹24,00,000 a year"
49,Data Science Trainer,MISD - Management Institute of Skill Development,"New Delhi, Delhi",None,None,None,"₹15,000 - ₹25,000 a month"
50,Data Science & Operations Lead,NOKIA,"Noida, Uttar Pradesh",None,None,None,None
51,Data Scientist: Artificial Intelligence,IBM,"Bengaluru, Karnataka",None,None,None,None
52,Python Developer - Data Modeling & Machine Learning,CloudWhiz DigiTech Global Ventures Pvt Ltd,"Ernakulam, Kerala",None,None,None,"Up to ₹60,000 a month"
53,Google Analytics,Phygital Insights,"Bengaluru, Karnataka",None,None,None,None
54,Machine Learning Engineer,Olibr,"Lucknow, Uttar Pradesh",None,None,None,None
55,Solutions Design Consultant - Data Science,Affine Inc,"Bengaluru, Karnataka",None,None,None,None
56,ML Engineer,Boston Consulting Group,"Bengaluru, Karnataka",None,None,None,None
57,"Professor in computer Science and Engineering, MCA, AIML,Data science",Rajamahendri Institute of Engineering and...,"Rajahmundry, Andhra Pradesh",None,None,None,"From ₹7,10,000 a year"
58,Senior Associate Data Engineering L1_DS-AI & Machine Learning,Publicis Groupe,"Pune, Maharashtra",None,None,None,None
59,Natural Language Processing Engineer,WebDexon,"Mohali, Punjab",None,None,None,"₹5,00,000 - ₹12,00,000 a year"
60,Senior Associate – Data Science Consultant,MathCo,"Bengaluru, Karnataka",None,None,None,None
61,BCG X Lead Data Scientist,Boston Consulting Group,"Bengaluru, Karnataka",None,None,None,None
62,Data science,Purview Services,India,None,None,None,None
63,Scala / ML engineer,Dotcod Innovation Private Limited,"Bengaluru, Karnataka",None,None,None,"₹10,00,000 - ₹24,00,000 a year"
64,Data Science Trainer,MISD - Management Institute of Skill Development,"New Delhi, Delhi",None,None,None,"₹15,000 - ₹25,000 a month"
65,Data Science & Operations Lead,NOKIA,"Noida, Uttar Pradesh",None,None,None,None
66,Data Scientist: Artificial Intelligence,IBM,"Bengaluru, Karnataka",None,None,None,None
67,Python Developer - Data Modeling & Machine Learning,CloudWhiz DigiTech Global Ventures Pvt Ltd,"Ernakulam, Kerala",None,None,None,"Up to ₹60,000 a month"
68,Google Analytics,Phygital Insights,"Bengaluru, Karnataka",None,None,None,None
69,Machine Learning Engineer,Olibr,"Lucknow, Uttar Pradesh",None,None,None,None
70,Solutions Design Consultant - Data Science,Affine Inc,"Bengaluru, Karnataka",None,None,None,None
71,ML Engineer,Boston Consulting Group,"Bengaluru, Karnataka",None,None,None,None
72,"Professor in computer Science and Engineering, MCA, AIML,Data science",Rajamahendri Institute of Engineering and...,"Rajahmundry, Andhra Pradesh",None,None,None,"From ₹7,10,000 a year"
73,Senior Associate Data Engineering L1_DS-AI & Machine Learning,Publicis Groupe,"Pune, Maharashtra",None,None,None,None
74,Natural Language Processing Engineer,WebDexon,"Mohali, Punjab",None,None,None,"₹5,00,000 - ₹12,00,000 a year"
75,Senior Associate – Data Science Consultant,MathCo,"Bengaluru, Karnataka",None,None,None,None
76,BCG X Lead Data Scientist,Boston Consulting Group,"Bengaluru, Karnataka",None,None,None,None
77,Data science,Purview Services,India,None,None,None,None
78,Scala / ML engineer,Dotcod Innovation Private Limited,"Bengaluru, Karnataka",None,None,None,"₹10,00,000 - ₹24,00,000 a year"
79,Data Science Trainer,MISD - Management Institute of Skill Development,"New Delhi, Delhi",None,None,None,"₹15,000 - ₹25,000 a month"
80,Data Science & Operations Lead,NOKIA,"Noida, Uttar Pradesh",None,None,None,None
81,Data Scientist: Artificial Intelligence,IBM,"Bengaluru, Karnataka",None,None,None,None
82,Python Developer - Data Modeling & Machine Learning,CloudWhiz DigiTech Global Ventures Pvt Ltd,"Ernakulam, Kerala",None,None,None,"Up to ₹60,000 a month"
83,Google Analytics,Phygital Insights,"Bengaluru, Karnataka",None,None,None,None
84,Machine Learning Engineer,Olibr,"Lucknow, Uttar Pradesh",None,None,None,None
85,Solutions Design Consultant - Data Science,Affine Inc,"Bengaluru, Karnataka",None,None,None,None
86,ML Engineer,Boston Consulting Group,"Bengaluru, Karnataka",None,None,None,None
87,"Professor in computer Science and Engineering, MCA, AIML,Data science",Rajamahendri Institute of Engineering and...,"Rajahmundry, Andhra Pradesh",None,None,None,"From ₹7,10,000 a year"
88,Senior Associate Data Engineering L1_DS-AI & Machine Learning,Publicis Groupe,"Pune, Maharashtra",None,None,None,None
89,Natural Language Processing Engineer,WebDexon,"Mohali, Punjab",None,None,None,"₹5,00,000 - ₹12,00,000 a year"
90,Senior Associate – Data Science Consultant,MathCo,"Bengaluru, Karnataka",None,None,None,None
91,BCG X Lead Data Scientist,Boston Consulting Group,"Bengaluru, Karnataka",None,None,None,None
92,Data science,Purview Services,India,None,None,None,None
93,Scala / ML engineer,Dotcod Innovation Private Limited,"Bengaluru, Karnataka",None,None,None,"₹10,00,000 - ₹24,00,000 a year"
94,Data Science Trainer,MISD - Management Institute of Skill Development,"New Delhi, Delhi",None,None,None,"₹15,000 - ₹25,000 a month"
